week_start,region_x,sub_region_x,country_name_x,city_name,completed_trips,completed_cash_trips,surged_trips,requests,sessions,driver_cancellations,rider_cancellations,unfulfilled_trips
2019/04/08,EMEA - MEA,Middle East,United Arab Emirates,Abu Dhabi,362,47,0,410,1443,11,38,1
2019/02/11,EMEA - MEA,Middle East,United Arab Emirates,Abu Dhabi,375,45,21,454,1592,12,66,2
2018/11/19,EMEA - MEA,Middle East,United Arab Emirates,Abu Dhabi,388,105,13,617,2679,24,203,7
2019/01/14,EMEA - MEA,Middle East,United Arab Emirates,Abu Dhabi,283,48,11,350,1336,6,60,2
2018/11/12,EMEA - MEA,Middle East,United Arab Emirates,Abu Dhabi,0,0,0,0,801,0,0,0
2018/11/05,EMEA - MEA,Middle East,United Arab Emirates,Abu Dhabi,0,0,0,0,657,0,0,0
2019/03/11,EMEA - MEA,Middle East,United Arab Emirates,Abu Dhabi,358,44,4,424,1443,11,54,2
2018/12/03,EMEA - MEA,Middle East,United Arab Emirates,Abu Dhabi,163,33,4,204,1007,5,36,1
2019/01/28,EMEA - MEA,Middle East,United Arab Emirates,Abu Dhabi,273,41,19,330,1342,9,48,2
2019/03/25,EMEA - MEA,Middle East,United Arab Emirates,Abu Dhabi,354,41,1,410,1519,9,46,0
2019/01/21,EMEA - MEA,Middle East,United Arab Emirates,Abu Dhabi,254,47,5,304,1263,7,42,0
2019/03/18,EMEA - MEA,Middle East,United Arab Emirates,Abu Dhabi,358,36,5,420,1438,12,49,0
2018/11/26,EMEA - MEA,Middle East,United Arab Emirates,Abu Dhabi,149,30,5,213,43,7,56,2
2018/12/10,EMEA - MEA,SSA,Nigeria,Abuja,2605,2068,341,3503,5556,183,705,31
2019/02/04,EMEA - MEA,SSA,Nigeria,Abuja,2779,2547,7,3978,4907,207,988,12
2019/04/01,EMEA - MEA,SSA,Nigeria,Abuja,3068,2431,28,4055,5717,159,812,45
2018/11/12,EMEA - MEA,SSA,Nigeria,Abuja,2518,1855,169,3296,5159,146,629,8
2018/11/19,EMEA - MEA,SSA,Nigeria,Abuja,2410,1843,90,3168,4975,139,612,24
2019/03/18,EMEA - MEA,SSA,Nigeria,Abuja,2915,2198,11,3685,5399,141,625,15
2018/11/26,EMEA - MEA,SSA,Nigeria,Abuja,2609,2148,322,3653,7,174,852,55
2019/04/15,EMEA - MEA,SSA,Nigeria,Abuja,2854,2305,17,3692,3262,146,679,40
2019/02/18,EMEA - MEA,SSA,Nigeria,Abuja,2082,1506,2,2562,3930,96,380,13
2018/12/24,EMEA - MEA,SSA,Nigeria,Abuja,1487,1257,103,2029,3381,105,429,25
2019/01/21,EMEA - MEA,SSA,Nigeria,Abuja,2619,2328,9,3679,4915,193,864,9
2018/12/31,EMEA - MEA,SSA,Nigeria,Abuja,1633,1306,77,2177,3450,98,434,34
2019/04/22,EMEA - MEA,SSA,Nigeria,Abuja,2803,2241,7,3581,0,136,630,34
2019/02/25,EMEA - MEA,SSA,Nigeria,Abuja,2422,1725,1,2971,4468,104,444,4
2018/12/03,EMEA - MEA,SSA,Nigeria,Abuja,2534,1954,246,3429,4390,179,707,29
2019/03/25,EMEA - MEA,SSA,Nigeria,Abuja,3007,2353,15,3950,5478,170,766,21
2019/02/11,EMEA - MEA,SSA,Nigeria,Abuja,2322,1757,4,2932,4378,124,483,12
2019/01/28,EMEA - MEA,SSA,Nigeria,Abuja,2802,2627,16,4052,5191,259,988,9
2019/04/08,EMEA - MEA,SSA,Nigeria,Abuja,3072,2417,21,3933,5737,168,684,27
2018/12/17,EMEA - MEA,SSA,Nigeria,Abuja,2445,2006,291,3359,5143,170,733,34
2019/03/04,EMEA - MEA,SSA,Nigeria,Abuja,2344,1681,2,2885,4493,117,424,2
2019/01/07,EMEA - MEA,SSA,Nigeria,Abuja,2297,1803,38,3016,4410,130,585,13
2019/03/11,EMEA - MEA,SSA,Nigeria,Abuja,2767,2024,8,3457,5086,141,548,2
2019/01/14,EMEA - MEA,SSA,Nigeria,Abuja,2528,2134,25,3418,4714,155,733,6
2018/11/05,EMEA - MEA,SSA,Nigeria,Abuja,2446,1705,72,3168,4535,130,586,17
2019/01/14,EMEA - MEA,SSA,Ghana,Accra,18173,20776,497,21477,36422,796,2494,41
2018/11/05,EMEA - MEA,SSA,Ghana,Accra,18094,20369,1328,22057,35908,897,3051,45
2019/03/11,EMEA - MEA,SSA,Ghana,Accra,20897,24383,329,25124,40684,953,3242,93
2018/11/12,EMEA - MEA,SSA,Ghana,Accra,18010,20428,1117,21633,37042,869,2743,36
2019/03/04,EMEA - MEA,SSA,Ghana,Accra,21269,25169,554,25849,42500,1006,3539,103
2018/11/19,EMEA - MEA,SSA,Ghana,Accra,17821,20294,916,21334,37114,853,2647,38
2019/04/22,EMEA - MEA,SSA,Ghana,Accra,20182,24029,970,24663,0,1082,3365,99
2018/12/31,EMEA - MEA,SSA,Ghana,Accra,17832,21845,4363,23128,42483,1191,3994,334
2019/02/25,EMEA - MEA,SSA,Ghana,Accra,20575,24256,759,24958,41543,960,3384,118
2019/01/28,EMEA - MEA,SSA,Ghana,Accra,19139,22628,550,23310,38237,918,3208,134
2018/12/03,EMEA - MEA,SSA,Ghana,Accra,18555,21838,1195,22587,32469,918,3090,73
2019/03/25,EMEA - MEA,SSA,Ghana,Accra,20987,24829,485,25535,41682,990,3523,102
2019/03/18,EMEA - MEA,SSA,Ghana,Accra,20256,24051,386,24799,41294,988,3478,230
2019/04/01,EMEA - MEA,SSA,Ghana,Accra,20816,25114,554,25871,42594,1081,3852,367
2019/02/04,EMEA - MEA,SSA,Ghana,Accra,19353,22633,320,23301,37551,885,3035,84
2018/12/10,EMEA - MEA,SSA,Ghana,Accra,19102,22563,1975,23438,40466,984,3326,78
2019/01/21,EMEA - MEA,SSA,Ghana,Accra,18497,21107,188,21760,36959,776,2475,39
2019/01/07,EMEA - MEA,SSA,Ghana,Accra,17692,20528,991,21357,36686,850,2788,81
2018/11/26,EMEA - MEA,SSA,Ghana,Accra,18260,20841,994,21845,0,876,2694,44
2019/04/08,EMEA - MEA,SSA,Ghana,Accra,20183,24149,659,24845,41191,1041,3483,414
2019/02/18,EMEA - MEA,SSA,Ghana,Accra,19471,22261,476,22933,38193,804,2647,33
2019/02/11,EMEA - MEA,SSA,Ghana,Accra,19839,23975,1222,24704,40566,1010,3800,164
2018/12/17,EMEA - MEA,SSA,Ghana,Accra,19642,24204,4841,25206,46447,1214,4290,179
2019/04/15,EMEA - MEA,SSA,Ghana,Accra,20227,23811,544,24452,20823,965,3207,156
2018/12/24,EMEA - MEA,SSA,Ghana,Accra,19607,24544,6007,25745,49345,1403,4626,325
2019/04/15,EMEA - WSE,Southwest Europe,Spain,Albacete,0,0,0,0,10,0,0,0
2019/02/18,EMEA - WSE,Southwest Europe,Spain,Albacete,0,0,0,0,20,0,0,0
2019/02/04,EMEA - WSE,Southwest Europe,Spain,Albacete,0,0,0,0,30,0,0,0
2019/02/11,EMEA - WSE,Southwest Europe,Spain,Albacete,0,0,0,0,26,0,0,0
2018/12/10,EMEA - WSE,Southwest Europe,Spain,Albacete,0,0,0,0,15,0,0,0
2019/04/01,EMEA - WSE,Southwest Europe,Spain,Albacete,0,0,0,0,21,0,0,0
2018/12/31,EMEA - WSE,Southwest Europe,Spain,Albacete,0,0,0,0,20,0,0,0
2019/02/25,EMEA - WSE,Southwest Europe,Spain,Albacete,0,0,0,0,25,0,0,0
2018/12/24,EMEA - WSE,Southwest Europe,Spain,Albacete,0,0,0,0,22,0,0,0
2019/04/22,EMEA - WSE,Southwest Europe,Spain,Albacete,0,0,0,0,0,0,0,0
2019/01/07,EMEA - WSE,Southwest Europe,Spain,Albacete,0,0,0,0,15,0,0,0
2019/03/04,EMEA - WSE,Southwest Europe,Spain,Albacete,0,0,0,0,21,0,0,0
2019/04/08,EMEA - WSE,Southwest Europe,Spain,Albacete,0,0,0,0,21,0,0,0
2018/12/17,EMEA - WSE,Southwest Europe,Spain,Albacete,0,0,0,0,17,0,0,0
2018/11/19,EMEA - WSE,Southwest Europe,Spain,Albacete,0,0,0,0,16,0,0,0
2019/01/14,EMEA - WSE,Southwest Europe,Spain,Albacete,0,0,0,0,16,0,0,0
2018/11/05,EMEA - WSE,Southwest Europe,Spain,Albacete,0,0,0,0,14,0,0,0
2019/03/11,EMEA - WSE,Southwest Europe,Spain,Albacete,0,0,0,0,21,0,0,0
2018/11/12,EMEA - WSE,Southwest Europe,Spain,Albacete,0,0,0,0,16,0,0,0
2018/12/03,EMEA - WSE,Southwest Europe,Spain,Albacete,0,0,0,0,14,0,0,0
2019/03/25,EMEA - WSE,Southwest Europe,Spain,Albacete,0,0,0,0,20,0,0,0
2019/01/28,EMEA - WSE,Southwest Europe,Spain,Albacete,0,0,0,0,43,0,0,0
2019/03/18,EMEA - WSE,Southwest Europe,Spain,Albacete,0,0,0,0,19,0,0,0
2018/11/26,EMEA - WSE,Southwest Europe,Spain,Albacete,0,0,0,0,0,0,0,0
2019/01/21,EMEA - WSE,Southwest Europe,Spain,Albacete,0,0,0,0,38,0,0,0
2019/04/01,EMEA - MEA,Egypt,Egypt,Alexandria,15886,17866,163,20079,34226,379,3811,9
2019/02/18,EMEA - MEA,Egypt,Egypt,Alexandria,17262,19593,656,21888,38026,377,4247,5
2018/12/24,EMEA - MEA,Egypt,Egypt,Alexandria,17810,20389,1528,23055,35648,441,4801,7
2019/01/07,EMEA - MEA,Egypt,Egypt,Alexandria,15357,17260,919,19281,32083,392,3531,5
2018/12/10,EMEA - MEA,Egypt,Egypt,Alexandria,17457,20251,1781,22771,36568,417,4895,8
2018/11/19,EMEA - MEA,Egypt,Egypt,Alexandria,17719,21505,2519,23999,36841,460,5816,11
2019/02/04,EMEA - MEA,Egypt,Egypt,Alexandria,16271,18478,820,20619,34552,432,3914,6
2019/02/25,EMEA - MEA,Egypt,Egypt,Alexandria,16993,19436,546,21662,35110,388,4280,6
2018/12/31,EMEA - MEA,Egypt,Egypt,Alexandria,16431,18787,1602,21175,33841,430,4310,9
2019/03/04,EMEA - MEA,Egypt,Egypt,Alexandria,16827,19491,727,21753,35469,396,4528,7
2019/04/08,EMEA - MEA,Egypt,Egypt,Alexandria,16252,18111,167,20313,32927,377,3682,6
2019/02/11,EMEA - MEA,Egypt,Egypt,Alexandria,16220,18447,737,20601,34536,395,3985,6
2018/12/17,EMEA - MEA,Egypt,Egypt,Alexandria,18119,20667,1421,23268,35934,407,4739,8
2019/01/14,EMEA - MEA,Egypt,Egypt,Alexandria,14923,16641,648,18568,31882,389,3254,4
2018/11/12,EMEA - MEA,Egypt,Egypt,Alexandria,17217,21053,2542,23516,35949,447,5847,14
2019/03/11,EMEA - MEA,Egypt,Egypt,Alexandria,16104,18183,219,20380,33634,376,3898,8
2018/11/05,EMEA - MEA,Egypt,Egypt,Alexandria,17358,21032,2465,23505,34408,421,5720,16
2019/01/28,EMEA - MEA,Egypt,Egypt,Alexandria,15851,17895,749,19881,34408,414,3613,8
2019/03/25,EMEA - MEA,Egypt,Egypt,Alexandria,14877,16313,251,18387,32161,332,3174,7
2018/12/03,EMEA - MEA,Egypt,Egypt,Alexandria,16610,20031,2319,22411,29961,446,5350,12
2019/01/21,EMEA - MEA,Egypt,Egypt,Alexandria,15054,16758,562,18719,33883,447,3216,5
2019/03/18,EMEA - MEA,Egypt,Egypt,Alexandria,16528,18884,607,21172,34690,399,4242,7
2018/11/26,EMEA - MEA,Egypt,Egypt,Alexandria,18220,21807,2215,24383,212,460,5701,9
2019/04/15,EMEA - MEA,MENA,Egypt,Alexandria,15821,17692,272,19925,17485,369,3730,18
2019/04/22,EMEA - MEA,MENA,Egypt,Alexandria,16021,18128,202,20343,0,399,3917,16
2019/04/01,EMEA - WSE,Southwest Europe,Portugal,Algarve,1127,0,8,1250,2639,29,93,4
2019/04/15,EMEA - WSE,Southwest Europe,Portugal,Algarve,1637,0,19,1831,1850,33,138,71
2019/02/25,EMEA - WSE,Southwest Europe,Portugal,Algarve,665,0,8,748,1654,16,66,4
2019/02/18,EMEA - WSE,Southwest Europe,Portugal,Algarve,650,0,2,709,1505,12,46,2
2019/02/04,EMEA - WSE,Southwest Europe,Portugal,Algarve,555,0,2,616,1302,11,44,18
2018/12/24,EMEA - WSE,Southwest Europe,Portugal,Algarve,542,0,1,591,1526,10,40,1
2018/11/19,EMEA - WSE,Southwest Europe,Portugal,Algarve,538,0,1,593,1305,13,43,1
2018/12/10,EMEA - WSE,Southwest Europe,Portugal,Algarve,469,0,1,515,1187,8,37,1
2019/04/22,EMEA - WSE,Southwest Europe,Portugal,Algarve,1551,0,12,1691,0,27,112,4
2018/12/31,EMEA - WSE,Southwest Europe,Portugal,Algarve,756,0,125,879,1848,24,97,8
2019/01/07,EMEA - WSE,Southwest Europe,Portugal,Algarve,470,0,1,510,1184,6,34,1
2019/03/04,EMEA - WSE,Southwest Europe,Portugal,Algarve,727,0,8,835,1754,16,73,59
2018/12/17,EMEA - WSE,Southwest Europe,Portugal,Algarve,520,0,1,570,1255,9,40,1
2019/04/08,EMEA - WSE,Southwest Europe,Portugal,Algarve,1317,0,9,1431,3022,29,84,3
2019/02/11,EMEA - WSE,Southwest Europe,Portugal,Algarve,606,0,1,659,1440,10,43,1
2018/11/05,EMEA - WSE,Southwest Europe,Portugal,Algarve,590,0,3,650,1350,12,47,2
2019/01/14,EMEA - WSE,Southwest Europe,Portugal,Algarve,460,0,1,498,1164,5,33,0
2018/11/12,EMEA - WSE,Southwest Europe,Portugal,Algarve,541,0,1,602,1307,14,47,1
2019/03/11,EMEA - WSE,Southwest Europe,Portugal,Algarve,700,0,1,768,1649,14,53,2
2018/12/03,EMEA - WSE,Southwest Europe,Portugal,Algarve,499,0,1,554,1072,14,41,1
2019/03/25,EMEA - WSE,Southwest Europe,Portugal,Algarve,766,0,4,842,1817,22,53,1
2019/01/28,EMEA - WSE,Southwest Europe,Portugal,Algarve,525,0,1,570,1282,8,37,1
2018/11/26,EMEA - WSE,Southwest Europe,Portugal,Algarve,484,0,0,541,0,13,44,1
2019/01/21,EMEA - WSE,Southwest Europe,Portugal,Algarve,461,0,1,496,1167,6,30,1
2019/03/18,EMEA - WSE,Southwest Europe,Portugal,Algarve,707,0,1,801,1709,19,65,32
2019/01/28,EMEA - WSE,Southwest Europe,Spain,Almeria,0,0,0,0,52,0,0,0
2018/12/24,EMEA - WSE,Southwest Europe,Spain,Almeria,0,0,0,0,37,0,0,0
2019/04/08,EMEA - WSE,Southwest Europe,Spain,Almeria,0,0,0,0,38,0,0,0
2018/12/17,EMEA - WSE,Southwest Europe,Spain,Almeria,0,0,0,0,29,0,0,0
2019/02/11,EMEA - WSE,Southwest Europe,Spain,Almeria,0,0,0,0,34,0,0,0
2018/12/03,EMEA - WSE,Southwest Europe,Spain,Almeria,0,0,0,0,26,0,0,0
2019/03/25,EMEA - WSE,Southwest Europe,Spain,Almeria,0,0,0,0,34,0,0,0
2019/02/18,EMEA - WSE,Southwest Europe,Spain,Almeria,0,0,0,0,31,0,0,0
2019/04/15,EMEA - WSE,Southwest Europe,Spain,Almeria,0,0,0,0,24,0,0,0
2019/04/22,EMEA - WSE,Southwest Europe,Spain,Almeria,0,0,0,0,0,0,0,0
2018/12/31,EMEA - WSE,Southwest Europe,Spain,Almeria,0,0,0,0,31,0,0,0
2019/02/25,EMEA - WSE,Southwest Europe,Spain,Almeria,0,0,0,0,36,0,0,0
2019/04/01,EMEA - WSE,Southwest Europe,Spain,Almeria,0,0,0,0,32,0,0,0
2019/02/04,EMEA - WSE,Southwest Europe,Spain,Almeria,0,0,0,0,38,0,0,0
2018/12/10,EMEA - WSE,Southwest Europe,Spain,Almeria,0,0,0,0,27,0,0,0
2019/01/07,EMEA - WSE,Southwest Europe,Spain,Almeria,0,0,0,0,28,0,0,0
2019/03/04,EMEA - WSE,Southwest Europe,Spain,Almeria,0,0,0,0,34,0,0,0
2018/11/26,EMEA - WSE,Southwest Europe,Spain,Almeria,0,0,0,0,0,0,0,0
2019/01/21,EMEA - WSE,Southwest Europe,Spain,Almeria,0,0,0,0,55,0,0,0
2019/03/18,EMEA - WSE,Southwest Europe,Spain,Almeria,0,0,0,0,34,0,0,0
2019/01/14,EMEA - WSE,Southwest Europe,Spain,Almeria,0,0,0,0,29,0,0,0
2019/03/11,EMEA - WSE,Southwest Europe,Spain,Almeria,0,0,0,0,34,0,0,0
2018/11/12,EMEA - WSE,France & Switzerland & Austria,France,Amiens,42,0,0,54,438,1,10,1
2019/03/11,EMEA - WSE,France & Switzerland & Austria,France,Amiens,47,0,0,92,473,3,21,66
2018/12/03,EMEA - WSE,France & Switzerland & Austria,France,Amiens,43,0,0,56,368,2,11,2
2019/01/14,EMEA - WSE,France & Switzerland & Austria,France,Amiens,35,0,0,48,408,1,10,1
2019/02/04,EMEA - WSE,France & Switzerland & Austria,France,Amiens,43,0,0,58,438,2,12,2
2019/03/25,EMEA - WSE,France & Switzerland & Austria,France,Amiens,44,0,0,57,434,2,11,2
2019/01/28,EMEA - WSE,France & Switzerland & Austria,France,Amiens,42,0,0,58,468,2,13,2
2019/04/01,EMEA - WSE,France & Switzerland & Austria,France,Amiens,50,0,0,65,522,2,13,2
2018/12/10,EMEA - WSE,France & Switzerland & Austria,France,Amiens,42,0,0,54,436,2,10,2
2019/04/08,EMEA - WSE,France & Switzerland & Austria,France,Amiens,52,0,0,103,509,3,25,71
2018/12/17,EMEA - WSE,France & Switzerland & Austria,France,Amiens,39,0,0,50,424,2,9,2
2018/11/26,EMEA - WSE,France & Switzerland & Austria,France,Amiens,39,0,0,54,1,2,13,2
2019/03/18,EMEA - WSE,France & Switzerland & Austria,France,Amiens,46,0,0,59,440,2,11,1
2019/01/21,EMEA - WSE,France & Switzerland & Austria,France,Amiens,41,0,0,57,465,3,12,2
2019/02/11,EMEA - WSE,France & Switzerland & Austria,France,Amiens,40,0,0,53,429,2,10,2
2018/11/05,EMEA - WSE,France & Switzerland & Austria,France,Amiens,37,0,0,49,405,3,9,2
2018/11/19,EMEA - WSE,France & Switzerland & Austria,France,Amiens,37,0,0,50,430,2,10,1
2019/02/18,EMEA - WSE,France & Switzerland & Austria,France,Amiens,48,0,0,63,415,3,12,2
2018/12/24,EMEA - WSE,France & Switzerland & Austria,France,Amiens,30,0,0,42,472,2,9,3
2019/04/15,EMEA - WSE,France & Switzerland & Austria,France,Amiens,52,0,0,68,228,3,13,2
2019/01/07,EMEA - WSE,France & Switzerland & Austria,France,Amiens,35,0,0,46,399,2,9,1
2019/03/04,EMEA - WSE,France & Switzerland & Austria,France,Amiens,51,0,0,69,491,3,14,1
2019/02/25,EMEA - WSE,France & Switzerland & Austria,France,Amiens,40,0,0,52,443,2,10,1
2018/12/31,EMEA - WSE,France & Switzerland & Austria,France,Amiens,36,0,0,52,493,4,12,2
2019/04/22,EMEA - WSE,France & Switzerland & Austria,France,Amiens,55,0,0,71,0,2,13,2
2019/04/15,EMEA - MEA,MENA,Jordan,Amman,20691,24595,1437,26355,29323,419,4832,1240
2019/04/22,EMEA - MEA,MENA,Jordan,Amman,20670,23993,2592,25722,0,462,4567,69
2019/03/04,EMEA - MEA,Middle East,Jordan,Amman,19065,22642,2912,24099,59324,482,4536,49
2019/01/07,EMEA - MEA,Middle East,Jordan,Amman,18230,20961,2556,22204,50277,387,3504,252
2018/11/05,EMEA - MEA,Middle East,Jordan,Amman,27034,29356,1649,30969,60088,582,3352,3
2018/11/12,EMEA - MEA,Middle East,Jordan,Amman,25363,27402,661,28925,61319,565,2996,6
2018/12/24,EMEA - MEA,Middle East,Jordan,Amman,17161,20120,4580,21400,53303,459,3685,286
2019/01/21,EMEA - MEA,Middle East,Jordan,Amman,17741,19776,531,21076,48302,352,2886,292
2018/11/26,EMEA - MEA,Middle East,Jordan,Amman,26190,29143,3330,30716,415,619,3904,11
2019/03/11,EMEA - MEA,Middle East,Jordan,Amman,19781,22903,1762,24419,54295,420,4048,508
2019/03/18,EMEA - MEA,Middle East,Jordan,Amman,19108,22019,1930,23518,53417,423,3867,359
2019/02/18,EMEA - MEA,Middle East,Jordan,Amman,19782,21937,1126,23337,55209,388,3160,24
2019/01/14,EMEA - MEA,Middle East,Jordan,Amman,16152,18406,920,19601,46849,359,2957,401
2019/01/28,EMEA - MEA,Middle East,Jordan,Amman,18843,21702,1474,23008,50517,393,3652,360
2018/12/03,EMEA - MEA,Middle East,Jordan,Amman,24748,28025,3106,29620,53237,626,4214,93
2019/02/25,EMEA - MEA,Middle East,Jordan,Amman,19263,24236,3054,25682,60608,491,5493,1306
2019/03/25,EMEA - MEA,Middle East,Jordan,Amman,20258,23756,2595,25417,54317,445,4548,496
2018/12/31,EMEA - MEA,Middle East,Jordan,Amman,16140,19423,5650,20654,51118,433,3944,413
2019/04/01,EMEA - MEA,Middle East,Jordan,Amman,20675,24814,3039,26484,56925,485,5142,545
2019/02/04,EMEA - MEA,Middle East,Jordan,Amman,19540,22866,1714,24222,52954,412,4134,410
2018/11/19,EMEA - MEA,Middle East,Jordan,Amman,24189,26797,1277,28296,62062,560,3535,36
2018/12/17,EMEA - MEA,Middle East,Jordan,Amman,19868,22254,2308,23737,55727,457,3370,124
2019/04/08,EMEA - MEA,Middle East,Jordan,Amman,20846,24405,2966,26098,55432,463,4646,430
2019/02/11,EMEA - MEA,Middle East,Jordan,Amman,20756,24019,1799,25410,54975,393,4121,419
2018/12/10,EMEA - MEA,Middle East,Jordan,Amman,22550,25295,2326,26871,61804,553,3745,68
2019/03/18,EMEA - NEE,Benelux,Netherlands,Amsterdam,41636,235,3742,46005,89812,1218,3102,30
2018/11/26,EMEA - NEE,Benelux,Netherlands,Amsterdam,42004,173,5260,46486,212,1431,3022,17
2019/01/21,EMEA - NEE,Benelux,Netherlands,Amsterdam,42042,267,6440,46677,93236,1332,3263,24
2019/01/14,EMEA - NEE,Benelux,Netherlands,Amsterdam,38073,184,3612,41553,83466,1158,2308,8
2019/02/25,EMEA - NEE,Benelux,Netherlands,Amsterdam,38129,209,1799,41781,83404,1188,2421,26
2019/03/11,EMEA - NEE,Benelux,Netherlands,Amsterdam,46536,194,7296,51815,95674,1425,3811,25
2019/04/22,EMEA - NEE,Benelux,Netherlands,Amsterdam,46343,276,13383,53520,0,2099,4949,78
2019/03/25,EMEA - NEE,Benelux,Netherlands,Amsterdam,41489,241,4515,45583,84277,1171,2896,16
2018/12/31,EMEA - NEE,Benelux,Netherlands,Amsterdam,41733,261,11759,47688,97141,2114,3615,136
2018/12/03,EMEA - NEE,Benelux,Netherlands,Amsterdam,43183,200,6723,47566,76991,1441,2914,16
2019/03/04,EMEA - NEE,Benelux,Netherlands,Amsterdam,44486,216,7216,49376,96067,1355,3487,29
2019/01/28,EMEA - NEE,Benelux,Netherlands,Amsterdam,40891,222,5149,45764,88731,1393,3424,33
2019/01/07,EMEA - NEE,Benelux,Netherlands,Amsterdam,34799,183,2301,37851,73068,1023,2015,8
2018/11/12,EMEA - NEE,Benelux,Netherlands,Amsterdam,40436,127,9256,45613,83975,1543,3588,28
2018/11/19,EMEA - NEE,Benelux,Netherlands,Amsterdam,40181,163,8659,45291,87923,1570,3484,34
2018/11/05,EMEA - NEE,Benelux,Netherlands,Amsterdam,7487,27,1362,8425,15723,277,651,29
2019/04/01,EMEA - NEE,Benelux,Netherlands,Amsterdam,8269,44,1051,9261,17972,244,741,20
2019/02/04,EMEA - NEE,Benelux,Netherlands,Amsterdam,9698,44,2156,11344,20885,419,1194,98
2019/02/18,EMEA - NEE,Benelux,Netherlands,Amsterdam,7203,41,226,7863,15155,222,432,17
2018/12/10,EMEA - NEE,Benelux,Netherlands,Amsterdam,8875,33,1604,9829,18751,321,625,27
2019/04/15,EMEA - NEE,Benelux,Netherlands,Amsterdam,8438,36,1261,9409,8344,286,677,22
